psuMode, throttlePercent, dutyPercent, pwmFrequency, rpm, torque, tempC, sourceVoltage, pwmCurrent, powerChange, voltageChange, mddStatus, ocpStatus, ovpStatus 
2, 100, 5, 5000, 0.0, 0.0, 0.0, 15.137499809265137, -5.42724609375, -226.81961059570312, 0.0, True, False, False 
2, 100, 6, 5000, 0.0, 0.0, 0.0, 13.25624942779541, -8.759765625, -192.16555786132812, 0.0, True, False, False 
2, 100, 8, 10000, 0.0, 0.0, 0.0, 11.768750190734863, -11.806640625, -202.5755615234375, 0.0, True, False, False 
2, 100, 11, 10000, 0.0, 0.0, 0.0, 10.543749809265137, -14.18701171875, -329.77783203125, 0.0, True, False, False 
2, 100, 14, 13333, 0.0, 0.0, 0.0, 9.887499809265137, -16.1865234375, -367.5936279296875, 0.0, True, False, False 
2, 100, 16, 20000, 0.0, 0.0, 0.0, 8.88124942779541, -17.900390625, -161.069091796875, 0.0, True, False, False 
2, 100, 18, 20000, 0.0, 0.0, 0.0, 8.268750190734863, -19.32861328125, -176.473876953125, 0.0, True, False, False 
2, 100, 20, 20000, 0.0, 0.0, 0.0, 7.831249713897705, -20.3759765625, -130.518310546875, 0.0, True, False, False 
2, 100, 21, 20000, 0.0, 0.0, 0.0, 7.393749713897705, -21.328125, -152.462646484375, 0.0, True, False, False 
2, 100, 23, 20000, 0.0, 0.0, 0.0, 7.21875, -21.99462890625, -15.02978515625, 0.0, True, False, False 
2, 100, 25, 20000, 0.0, 0.0, 0.0, 7.0, -22.37548828125, -127.743896484375, 0.0, True, False, False 
2, 100, 26, 20000, 0.0, 0.0, 0.0, 6.78125, -22.6611328125, -114.280517578125, 0.0, True, False, False 
2, 100, 28, 20000, 0.0, 0.0, 0.0, 6.693749904632568, -22.94677734375, 151.467041015625, 0.0, True, False, False 
2, 100, 30, 20000, 0.0, 0.0, 0.0, 6.5625, -22.94677734375, -536.385986328125, 0.0, True, False, False 
2, 100, 31, 20000, 0.0, 0.0, 0.0, 6.868750095367432, -23.0419921875, 17.5458984375, 0.0, True, False, False 
2, 100, 33, 20000, 0.0, 0.0, 0.0, 6.650000095367432, -22.94677734375, 3.0244140625, 0.0, True, False, False 
2, 100, 35, 20000, 0.0, 0.0, 0.0, 6.868750095367432, -22.75634765625, -178.15625, 0.0, True, False, False 
2, 100, 36, 20000, 0.0, 0.0, 0.0, 6.650000095367432, -22.6611328125, -97.072265625, 0.0, True, False, False 
2, 100, 38, 20000, 0.0, 0.0, 0.0, 6.650000095367432, -22.6611328125, -114.013671875, 0.0, True, False, False 
2, 100, 40, 20000, 0.0, 0.0, 0.0, 6.606249809265137, -22.75634765625, 228.81103515625, 0.0, True, False, False 
2, 100, 41, 20000, 0.0, 0.0, 0.0, 6.431250095367432, -22.94677734375, -94.14404296875, 0.0, True, False, False 
2, 100, 43, 20000, 0.0, 0.0, 0.0, 6.299999713897705, -23.0419921875, 207.76171875, 0.0, True, False, False 
2, 100, 45, 20000, 0.0, 0.0, 0.0, 6.299999713897705, -23.13720703125, -233.87646484375, 0.0, True, False, False 
2, 100, 46, 20000, 0.0, 0.0, 0.0, 6.168749809265137, -23.232421875, -266.8681640625, 0.0, True, False, False 
2, 100, 48, 20000, 0.0, 0.0, 0.0, 6.606249809265137, -22.94677734375, -376.55810546875, 0.0, True, False, False 
2, 100, 50, 20000, 0.0, 0.0, 0.0, 6.518749713897705, -22.8515625, -700.62890625, 0.0, True, False, False 
2, 100, 51, 20000, 0.0, 0.0, 0.0, 6.693749904632568, -22.94677734375, -217.27197265625, 0.0, True, False, False 
2, 100, 53, 20000, 0.0, 0.0, 0.0, 6.606249809265137, -22.94677734375, 104.8408203125, 0.0, True, False, False 
2, 100, 55, 20000, 0.0, 0.0, 0.0, 6.518749713897705, -22.8515625, -162.28564453125, 0.0, True, False, False 
2, 100, 56, 20000, 0.0, 0.0, 0.0, 6.606249809265137, -22.94677734375, -251.984375, 0.0, True, False, False 
2, 100, 58, 20000, 0.0, 0.0, 0.0, 6.606249809265137, -22.94677734375, -768.36181640625, 0.0, True, False, False 
2, 100, 60, 20000, 0.0, 0.0, 0.0, 6.650000095367432, -22.94677734375, -113.31005859375, 0.0, True, False, False 
2, 100, 61, 20000, 0.0, 0.0, 0.0, 6.78125, -22.8515625, -268.046875, 0.0, True, False, False 
2, 100, 63, 20000, 0.0, 0.0, 0.0, 7.131249904632568, -22.56591796875, -908.595703125, 0.0, True, False, False 
2, 100, 65, 20000, 0.0, 0.0, 0.0, 6.824999809265137, -22.56591796875, 144.7392578125, 0.0, True, False, False 
2, 100, 66, 20000, 0.0, 0.0, 0.0, 6.650000095367432, -22.6611328125, -727.6103515625, 0.0, True, False, False 
2, 100, 68, 20000, 0.0, 0.0, 0.0, 6.606249809265137, -22.8515625, -126.4150390625, 0.0, True, False, False 
2, 100, 70, 20000, 0.0, 0.0, 0.0, 6.431250095367432, -22.94677734375, -150.962890625, 0.0, True, False, False 
2, 100, 71, 20000, 0.0, 0.0, 0.0, 6.693749904632568, -23.0419921875, -692.072265625, 0.0, True, False, False 
2, 100, 73, 20000, 0.0, 0.0, 0.0, 6.824999809265137, -22.8515625, -200.1259765625, 0.0, True, False, False 
2, 100, 75, 20000, 0.0, 0.0, 0.0, 6.650000095367432, -22.6611328125, 39.4736328125, 0.0, True, False, False 
2, 100, 76, 20000, 0.0, 0.0, 0.0, 6.824999809265137, -22.6611328125, 301.3935546875, 0.0, True, False, False 
2, 100, 78, 20000, 0.0, 0.0, 0.0, 6.387499809265137, -22.6611328125, 379.7158203125, 0.0, True, False, False 
2, 100, 80, 20000, 0.0, 0.0, 0.0, 6.518749713897705, -22.6611328125, -64.4423828125, 0.0, True, False, False 
2, 100, 81, 20000, 0.0, 0.0, 0.0, 6.693749904632568, -22.75634765625, -268.0087890625, 0.0, True, False, False 
2, 100, 83, 20000, 0.0, 0.0, 0.0, 6.650000095367432, -22.8515625, 81.9794921875, 0.0, True, False, False 
2, 100, 85, 16666, 0.0, 0.0, 0.0, 6.824999809265137, -22.6611328125, -644.8427734375, 0.0, True, False, False 
